,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,explicit,artists,like
178,0.857,0.779,6,-9.604,1,0.0476,7.96e-05,0.88,0.0589,0.669,124.005,482000,4,10,False,['Neverdogs'],1
179,0.665,0.843,11,-5.916,0,0.17,0.0906,1.57e-05,0.145,0.422,104.993,225893,4,31,False,"['Synapson', 'Charles Harvey']",1
180,0.696,0.545,2,-9.07,1,0.0589,0.00124,0.732,0.053,0.477,122.51,459360,4,4,False,"['Gerd', 'Marcoradi']",1
181,0.908,0.518,1,-9.569,1,0.116,0.00406,0.682,0.104,0.624,124.008,402842,4,44,False,"['Ronald Christoph', 'Orlando']",1
182,0.681,0.679,5,-8.924,0,0.0621,0.000211,0.907,0.12,0.464,123.009,501481,4,16,False,['Modeplex'],1
183,0.764,0.857,3,-6.095,0,0.0554,0.00182,0.867,0.0535,0.506,125.008,400004,4,43,False,['Mark Knight'],1
184,0.722,0.798,2,-9.036,1,0.0427,0.0084,0.902,0.753,0.335,123.019,415120,4,28,False,['Hot Since 82'],1
185,0.785,0.69,3,-10.225,0,0.0698,0.00291,0.907,0.203,0.215,128.879,435267,4,55,False,['Oxia'],1
186,0.751,0.721,11,-8.093,0,0.0655,0.000252,0.574,0.119,0.0388,126.02,502969,4,59,False,"['Adam Beyer', 'Bart Skils']",1
187,0.719,0.377,9,-12.585,0,0.0974,0.661,0.0,0.0902,0.575,83.919,340013,4,60,False,['The Isley Brothers'],1
188,0.639,0.485,4,-11.072,0,0.0388,0.144,0.0421,0.124,0.109,86.026,251157,4,24,False,"['Lucien & The Kimono Orchestra', 'Moodoïd']",1
189,0.296,0.669,0,-5.364,0,0.0452,0.03,0.831,0.154,0.679,74.692,305947,4,59,False,['Santana'],1
190,0.791,0.666,4,-6.191,1,0.0316,0.788,1.55e-05,0.122,0.783,109.044,235166,4,38,False,['Vicente Cifuentes'],1
